,field_of_study,gender,high_keyboard_experience,high_teleop_experience,interface,is_adapted,keyboard_experience,mechanism,method,model,number_of_refinements,number_of_updates,participant_number,refinement_time,technical,teleop_experience,training_time,workload
133,BMD-HI,True,True,True,keyboard,True,4,online,OnKey,2,2,2,12,69.5713996887207,True,4,162.03444170951843,56.0
134,BMD-HI,True,True,True,keyboard,True,4,online,OnKey,3,2,2,12,99.79427719116211,True,4,162.03444170951843,56.0
135,BMD-HI,True,True,True,omni,True,4,offline,OffOm,1,4,4,12,532.01708984375,True,4,412.36584281921387,27.0
136,BMD-HI,True,True,True,omni,True,4,offline,OffOm,2,4,4,12,425.88358306884766,True,4,412.36584281921387,27.0
137,BMD-HI,True,True,True,omni,True,4,offline,OffOm,3,3,3,12,320.83172607421875,True,4,412.36584281921387,27.0
138,BMD-HI,True,True,True,omni,True,4,online,OnOm,1,8,8,12,257.64380645751953,True,4,89.054034948349,23.0
139,BMD-HI,True,True,True,omni,True,4,online,OnOm,2,2,2,12,54.579694747924805,True,4,89.054034948349,23.0
140,BMD-HI,True,True,True,omni,True,4,online,OnOm,3,1,1,12,27.570022583007812,True,4,89.054034948349,23.0
141,BMD-HI,True,True,True,keyboard,True,4,offline,OffKey,1,2,2,12,278.4907989501953,True,4,702.1112561225891,60.0
142,BMD-HI,True,True,True,keyboard,True,4,offline,OffKey,2,5,5,12,569.6610717773438,True,4,702.1112561225891,60.0
143,BMD-HI,True,True,True,keyboard,True,4,offline,OffKey,3,2,2,12,173.1554718017578,True,4,702.1112561225891,60.0
144,Mechatronics,True,False,False,keyboard,True,0,online,OnKey,1,2,1,13,142.51873779296875,True,0,127.86529207229614,31.0
145,Mechatronics,True,False,False,keyboard,True,0,online,OnKey,2,2,2,13,64.55804443359375,True,0,127.86529207229614,31.0
146,Mechatronics,True,False,False,keyboard,True,0,online,OnKey,3,1,1,13,46.22533416748047,True,0,127.86529207229614,31.0
147,Mechatronics,True,False,False,omni,True,0,offline,OffOm,1,7,5,13,1366.3572082519531,True,0,414.9624116420746,17.0
148,Mechatronics,True,False,False,omni,True,0,offline,OffOm,2,1,1,13,122.2568359375,True,0,414.9624116420746,17.0
149,Mechatronics,True,False,False,omni,True,0,offline,OffOm,3,1,1,13,136.2096710205078,True,0,414.9624116420746,17.0
150,Mechatronics,True,False,False,omni,True,0,online,OnOm,1,2,2,13,57.09089279174805,True,0,264.07046723365784,34.0
151,Mechatronics,True,False,False,omni,True,0,online,OnOm,2,6,2,13,344.7377700805664,True,0,264.07046723365784,34.0
152,Mechatronics,True,False,False,omni,True,0,online,OnOm,3,5,3,13,199.03393936157227,True,0,264.07046723365784,34.0
153,Mechatronics,True,False,False,keyboard,False,0,offline,OffKey,1,0,0,13,,True,0,,57.0
154,Mechatronics,True,False,False,keyboard,False,0,offline,OffKey,2,0,0,13,,True,0,,57.0
155,Mechatronics,True,False,False,keyboard,False,0,offline,OffKey,3,0,0,13,,True,0,,57.0
156,Voeding en Dietetiek,False,False,False,keyboard,True,2,online,OnKey,1,3,3,14,101.59110260009766,False,0,558.5547671318054,50.0
157,Voeding en Dietetiek,False,False,False,keyboard,True,2,online,OnKey,2,1,1,14,49.1236457824707,False,0,558.5547671318054,50.0
158,Voeding en Dietetiek,False,False,False,keyboard,True,2,online,OnKey,3,2,1,14,141.7093963623047,False,0,558.5547671318054,50.0
159,Voeding en Dietetiek,False,False,False,omni,True,2,offline,OffOm,1,5,5,14,703.9331512451172,False,0,669.1645157337189,52.0
160,Voeding en Dietetiek,False,False,False,omni,True,2,offline,OffOm,2,1,1,14,154.2784881591797,False,0,669.1645157337189,52.0
161,Voeding en Dietetiek,False,False,False,omni,True,2,offline,OffOm,3,2,2,14,319.8589324951172,False,0,669.1645157337189,52.0
162,Voeding en Dietetiek,False,False,False,omni,True,2,online,OnOm,1,5,3,14,173.6254940032959,False,0,122.80305504798889,38.0
163,Voeding en Dietetiek,False,False,False,omni,True,2,online,OnOm,2,2,2,14,49.19619178771973,False,0,122.80305504798889,38.0
164,Voeding en Dietetiek,False,False,False,omni,True,2,online,OnOm,3,4,3,14,126.01369285583496,False,0,122.80305504798889,38.0
165,Voeding en Dietetiek,False,False,False,keyboard,True,2,offline,OffKey,1,7,5,14,866.1604843139648,False,0,425.8421251773834,53.0
166,Voeding en Dietetiek,False,False,False,keyboard,True,2,offline,OffKey,2,2,1,14,228.1687469482422,False,0,425.8421251773834,53.0
167,Voeding en Dietetiek,False,False,False,keyboard,True,2,offline,OffKey,3,1,1,14,111.81697082519531,False,0,425.8421251773834,53.0
168,Electrical Engineering,True,True,False,keyboard,True,5,online,OnKey,1,1,1,15,26.924278259277344,True,0,126.05527210235596,20.0
169,Electrical Engineering,True,True,False,keyboard,True,5,online,OnKey,2,2,2,15,54.84556579589844,True,0,126.05527210235596,20.0
170,Electrical Engineering,True,True,False,keyboard,True,5,online,OnKey,3,1,1,15,27.14881706237793,True,0,126.05527210235596,20.0
171,Electrical Engineering,True,True,False,omni,True,5,offline,OffOm,1,2,2,15,253.39954376220703,True,0,616.4649198055267,68.0
172,Electrical Engineering,True,True,False,omni,True,5,offline,OffOm,2,3,3,15,337.0458755493164,True,0,616.4649198055267,68.0
173,Electrical Engineering,True,True,False,omni,True,5,offline,OffOm,3,2,2,15,320.42569732666016,True,0,616.4649198055267,68.0
174,Electrical Engineering,True,True,False,omni,True,5,online,OnOm,1,2,2,15,73.31053924560547,True,0,91.15971279144287,67.0
175,Electrical Engineering,True,True,False,omni,True,5,online,OnOm,2,1,1,15,39.40672302246094,True,0,91.15971279144287,67.0
176,Electrical Engineering,True,True,False,omni,True,5,online,OnOm,3,1,1,15,35.65053939819336,True,0,91.15971279144287,67.0
177,Electrical Engineering,True,True,False,keyboard,True,5,offline,OffKey,1,3,3,15,378.08448028564453,True,0,579.114438533783,47.0
178,Electrical Engineering,True,True,False,keyboard,True,5,offline,OffKey,2,1,1,15,148.3717803955078,True,0,579.114438533783,47.0
179,Electrical Engineering,True,True,False,keyboard,True,5,offline,OffKey,3,1,1,15,136.92625427246094,True,0,579.114438533783,47.0
180,Medicine,False,False,False,keyboard,True,0,online,OnKey,1,2,1,16,149.4965362548828,False,0,144.1486940383911,39.0
181,Medicine,False,False,False,keyboard,True,0,online,OnKey,2,5,2,16,331.2373733520508,False,0,144.1486940383911,39.0
182,Medicine,False,False,False,keyboard,True,0,online,OnKey,3,2,2,16,94.27009582519531,False,0,144.1486940383911,39.0
183,Medicine,False,False,False,omni,True,0,offline,OffOm,1,3,3,16,487.3027801513672,False,0,398.8358795642853,54.0
184,Medicine,False,False,False,omni,True,0,offline,OffOm,2,3,2,16,485.9938659667969,False,0,398.8358795642853,54.0
185,Medicine,False,False,False,omni,True,0,offline,OffOm,3,1,1,16,138.24656677246094,False,0,398.8358795642853,54.0
186,Medicine,False,False,False,omni,True,0,online,OnOm,1,3,3,16,140.4582405090332,False,0,101.75903940200806,19.0
187,Medicine,False,False,False,omni,True,0,online,OnOm,2,2,2,16,76.39788055419922,False,0,101.75903940200806,19.0
188,Medicine,False,False,False,omni,True,0,online,OnOm,3,2,2,16,58.42193412780762,False,0,101.75903940200806,19.0
189,Medicine,False,False,False,keyboard,True,0,offline,OffKey,1,9,2,16,2618.0823974609375,False,0,,80.0
190,Medicine,False,False,False,keyboard,True,0,offline,OffKey,2,1,1,16,357.8908996582031,False,0,,80.0
191,Medicine,False,False,False,keyboard,True,0,offline,OffKey,3,2,1,16,590.65576171875,False,0,,80.0
192,Robotics,True,True,False,keyboard,True,5,online,OnKey,1,2,2,17,75.49224090576172,True,2,171.1486873626709,26.0
193,Robotics,True,True,False,keyboard,True,5,online,OnKey,2,2,2,17,59.40414619445801,True,2,171.1486873626709,26.0
194,Robotics,True,True,False,keyboard,True,5,online,OnKey,3,3,3,17,127.39450073242188,True,2,171.1486873626709,26.0
195,Robotics,True,True,False,omni,True,5,offline,OffOm,1,3,3,17,275.30660247802734,True,2,583.817715883255,30.0
196,Robotics,True,True,False,omni,True,5,offline,OffOm,2,3,3,17,289.6070785522461,True,2,583.817715883255,30.0
197,Robotics,True,True,False,omni,True,5,offline,OffOm,3,5,5,17,481.0773620605469,True,2,583.817715883255,30.0
198,Robotics,True,True,False,omni,True,5,online,OnOm,1,3,3,17,82.50235939025879,True,2,71.36782360076904,43.0
199,Robotics,True,True,False,omni,True,5,online,OnOm,2,2,2,17,51.620670318603516,True,2,71.36782360076904,43.0
200,Robotics,True,True,False,omni,True,5,online,OnOm,3,2,2,17,55.87415885925293,True,2,71.36782360076904,43.0
201,Robotics,True,True,False,keyboard,True,5,offline,OffKey,1,4,4,17,335.8330078125,True,2,224.40096235275269,15.0
202,Robotics,True,True,False,keyboard,True,5,offline,OffKey,2,2,2,17,176.16394805908203,True,2,224.40096235275269,15.0
203,Robotics,True,True,False,keyboard,True,5,offline,OffKey,3,3,2,17,320.7802734375,True,2,224.40096235275269,15.0
204,BMD,False,False,False,keyboard,True,1,online,OnKey,1,2,2,18,87.31745529174805,True,1,80.21065855026245,34.0
205,BMD,False,False,False,keyboard,True,1,online,OnKey,2,1,1,18,52.31892013549805,True,1,80.21065855026245,34.0
206,BMD,False,False,False,keyboard,True,1,online,OnKey,3,2,2,18,68.31550407409668,True,1,80.21065855026245,34.0
207,BMD,False,False,False,omni,True,1,offline,OffOm,1,5,5,18,920.6373596191406,True,1,620.412474155426,40.0
208,BMD,False,False,False,omni,True,1,offline,OffOm,2,4,4,18,886.62451171875,True,1,620.412474155426,40.0
209,BMD,False,False,False,omni,True,1,offline,OffOm,3,1,1,18,256.04901123046875,True,1,620.412474155426,40.0
210,BMD,False,False,False,omni,True,1,online,OnOm,1,3,3,18,129.8133087158203,True,1,117.37955260276794,27.0
211,BMD,False,False,False,omni,True,1,online,OnOm,2,4,3,18,166.57808303833008,True,1,117.37955260276794,27.0
212,BMD,False,False,False,omni,True,1,online,OnOm,3,3,3,18,113.2938117980957,True,1,117.37955260276794,27.0
213,BMD,False,False,False,keyboard,True,1,offline,OffKey,1,2,2,18,407.2371063232422,True,1,415.12948775291443,50.0
214,BMD,False,False,False,keyboard,True,1,offline,OffKey,2,6,4,18,938.9175567626953,True,1,415.12948775291443,50.0
215,BMD,False,False,False,keyboard,True,1,offline,OffKey,3,1,1,18,155.50999450683594,True,1,415.12948775291443,50.0
